"","ID","Surname","Given","IntlWW40","IntlWW50","IntlWW60"
"232","ICUS0232","Brattain","Walter Houser","B1902-02-10","B1902-02-10",NA
"233","ICUS0233","Brennan-Reith","Nancy",NA,NA,NA
"234","ICUS0234","Breytenbach","Willie J.",NA,NA,NA
"235","ICUS0235","Briscoe","Anne M.",NA,NA,NA
"236","ICUS0236","Briskman","Laurence Barry",NA,NA,NA
"237","ICUS0237","Brisson","Marcelle",NA,NA,NA
"238","ICUS0238","Broady","Maurice",NA,NA,NA
"239","ICUS0239","Brockelman","Warren Y.",NA,NA,NA
"240","ICUS0240","Brodeur","Jean-Paul",NA,NA,NA
"241","ICUS0241","Brody","Eugene Bloom",NA,NA,NA
"242","ICUS0242","Brøgger","Jan",NA,NA,NA
"243","ICUS0243","Bronte","Lydia",NA,NA,NA
"244","ICUS0244","Bronwell","Arthur B.",NA,NA,NA
"245","ICUS0245","Brooks","Peter Newman",NA,NA,NA
"246","ICUS0246","Brown","Edwin W.",NA,NA,NA
"247","ICUS0247","Brown","Gladstone L.",NA,NA,NA
"248","ICUS0248","Brown","Joseph Epes",NA,NA,NA
"249","ICUS0249","Bruch","Lucille Capra",NA,NA,NA
"250","ICUS0250","Zum Brunn","Emilie",NA,NA,NA
"251","ICUS0251","Brunner","Karl",NA,NA,NA
"252","ICUS0252","Bryant","Marcus Darrol",NA,NA,NA
"253","ICUS0253","Bucher","Rue",NA,NA,NA
"254","ICUS0254","Buchholtzer","Guy Pierre",NA,NA,NA
"255","ICUS0255","Buckley","Walter Frederick",NA,NA,NA
"256","ICUS0256","Burić","Olivera",NA,NA,NA
"257","ICUS0257","Burr","Ronald",NA,NA,NA
"258","ICUS0258","Butler","Clark Wade",NA,NA,NA
"259","ICUS0259","Butler","Gordon Cecil",NA,NA,NA
"260","ICUS0260","Butr-Indr","Siddhi",NA,NA,NA
"261","ICUS0261","Butros","Albert Jamil",NA,NA,"B1934-03-25"
"262","ICUS0262","Byaruhanga-Akiiki","A.B.T.",NA,NA,NA
"263","ICUS0263","Byers","Paul",NA,NA,NA
"264","ICUS0264","Byrne","Richard B.",NA,NA,NA
"265","ICUS0265","Zubkova (Bytchikhina)","Luba",NA,NA,NA
"266","ICUS0266","Camara","Sory",NA,NA,NA
"267","ICUS0267","Cannistraro","Philip V.",NA,NA,NA
"268","ICUS0268","Cantore","Enrico",NA,NA,NA
"269","ICUS0269","Capone","Donald L.",NA,NA,NA
"270","ICUS0270","Caponigri","Aloysius Robert",NA,NA,NA
"271","ICUS0271","Cappelletti","Vincenzo",NA,NA,NA
"272","ICUS0272","Cardwell","Donald Stephen Lowell",NA,NA,"B1919-08-04"
"273","ICUS0273","Carisse","Colette",NA,NA,NA
"274","ICUS0274","Carlson","David Allen",NA,NA,NA
"275","ICUS0275","Carney","Frederick Smith",NA,NA,NA
"276","ICUS0276","Carney","Kim",NA,NA,NA
"277","ICUS0277","Carr","David T.",NA,NA,NA
"278","ICUS0278","Carreras","Francisco J.",NA,NA,NA
"279","ICUS0279","Carrillo-Flores","Antonio",NA,NA,NA
"280","ICUS0280","Carter","Robert Edgar",NA,NA,NA
"281","ICUS0281","Caspari","Ernst Wolfgang",NA,NA,NA
"282","ICUS0282","Cassel","Dieter",NA,NA,NA
"283","ICUS0283","Cassidy","Harold Gomes",NA,NA,NA
"284","ICUS0284","Castaneda","Hector-Neri",NA,NA,NA
"285","ICUS0285","Castuera","Ignacio",NA,NA,NA
"286","ICUS0286","Catterberg","Edgardo Raúl",NA,NA,NA
"287","ICUS0287","Cavanaugh","Michael A.",NA,NA,NA
"288","ICUS0288","Caws","Peter J.",NA,NA,NA
"289","ICUS0289","Cernuschi","Félix",NA,NA,NA
"290","ICUS0290","Chagas","Carlos","B1910-09-10","B1910-09-10","B1910-09-12"
"291","ICUS0291","Chain","Ernst Boris","B1906-06-19",NA,NA
"292","ICUS0292","Chalmers","Alistair",NA,NA,NA
"293","ICUS0293","Chance","Michael Robin Alexander",NA,NA,NA
"294","ICUS0294","Chandrangarm","Saeng",NA,NA,NA
"295","ICUS0295","Chandrasekhar","Bellur Sivaramiah",NA,NA,NA
"296","ICUS0296","Chang","Byung-Kil",NA,NA,NA
"297","ICUS0297","Chang","Ki-Kun",NA,NA,NA
"298","ICUS0298","Chang","Sang-ho",NA,NA,NA
"299","ICUS0299","Chao","Chin-Chi",NA,NA,NA
"300","ICUS0300","Chappell","David Wellington",NA,NA,NA
"301","ICUS0301","Chareonthaitewee","Pradit",NA,NA,NA
"302","ICUS0302","Charles","Daniel Paul",NA,NA,NA
"303","ICUS0303","Charon","Jean Émile",NA,NA,NA
"304","ICUS0304","Châtel","Bertrand H.",NA,NA,NA
"305","ICUS0305","Chattergee","Margeret",NA,NA,NA
"306","ICUS0306","Chaves","Eduardo Oscar de Campos",NA,NA,NA
"307","ICUS0307","Checkland","Peter B.",NA,NA,NA
"308","ICUS0308","Cheek","John A.",NA,NA,NA
"309","ICUS0309","Cheek","Julia",NA,NA,NA
"310","ICUS0310","Chen","Rolet Chih-Shih",NA,NA,NA
"311","ICUS0311","Chen","Tsing-Fang",NA,NA,NA
"312","ICUS0312","Cheng","Chung-Ying",NA,NA,NA
"313","ICUS0313","Chin","Kyung Hee",NA,NA,NA
"314","ICUS0314","Chitnis","Suma",NA,NA,NA
"315","ICUS0315","Chiu","Hong-yee",NA,NA,NA
"316","ICUS0316","Cho","Woo-Hyun",NA,NA,NA
"317","ICUS0317","Choe","Yong-Tae",NA,NA,NA
"318","ICUS0318","Choh","Soon-Tahk",NA,NA,NA
"319","ICUS0319","Choi","Chang-Kyu",NA,NA,NA
"320","ICUS0320","Choi","Kwang-Pil",NA,NA,NA
"321","ICUS0321","Chomchai","Prachoom",NA,NA,NA
"322","ICUS0322","Chou","Kyong-Chol",NA,NA,NA
